identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
3709C,RÉSEAU DBT,TOURS,0,0.018,100,2024
3710C,RÉSIDENCE FEBVOTTE 1 ET 2,TOURS,0.228,0.256,0,2024
3711C,CFA JOUÉ LES TOURS,JOUE LES TOURS,0.12,0.144,51.6,2024
3712C,RÉSEAU DE CHALEUR TM-ED,TOURS ET LA RICHE,0.047,0.071,78.9,2024
3713C,ILOTS EST,TOURS,0.179,0.21,27.3,2024
3714C,ILOT OUEST,TOURS,0.158,0.196,21.3,2024
3801C,CHAUFFERIE BOIS BÂTIMENTS COMMUNAUX,NOYAREY,0.029,0.051,88.9,Moyenne
3802C,RÉSEAU PRINCIPAL DE GRENOBLE-ALPES MÉTROPOLE,GRENOBLE,0.049,0.093,80.9,2024
3802F,RÉSEAU FROID CCIAG GRENOBLE,GRENOBLE,0.017,0.061,,Moyenne
3803C,BERJALIA,BOURGOIN-JALLIEU,0.048,0.058,82.1,2024
3804C,RÉSEAU DE CHALEUR DE VINAY,VINAY,0.069,0.105,84.3,2024
3805C,RÉSEAU DE SAINT MARCELLIN,SAINT-MARCELLIN,0.023,0.051,93.4,Moyenne
3806C,RÉSEAU D'ALLEVARD,ALLEVARD,0.019,0.05,94.1,Moyenne
3807C,LES LAICHES,VILLARD-DE-LANS,0.062,0.097,85.5,Moyenne
3808C,RÉSEAU DE LANS-EN-VERCORS,LANS-EN-VERCORS,0.022,0.05,94.5,2024
3809C,RÉSEAU DE MONESTIER-DE-CLERMONT,MONESTIER-DE-CLERMONT,0.023,0.051,94.8,2024
3810C,RÉSEAU DE MENS,MENS,0,0.019,100,2024
3811C,RÉSEAU DE CHALEUR BOIS PONTCHARRA RCBP,PONTCHARRA,0.038,0.064,86.7,2024
3813C,RÉSEAU DE CHALEUR DE VOREPPE CENTRE,VOREPPE,0.153,0.185,53.5,Moyenne
3814C,RÉSEAU DE COUBLEVIE,COUBLEVIE,0.15,0.179,51.2,Moyenne
3817C,RÉSEAU DE CHALEUR DE VILLARD-DE-LANS,VILLARD-DE-LANS,0.016,0.041,96,2024
3819C,RÉSEAU YOPLAIT VIENNE,VIENNE,0.036,0.044,84,Moyenne
3820C,RÉSEAU DE CHALEUR DE GIÈRES CENTRE,GIÈRES,0.034,0.06,85.3,2024
3821C,RÉSEAU DE CHALEUR DE FONTAINE ZAC BASTILLE,FONTAINE,0.043,0.068,81.4,2024
3822C,FORESTENER NOTRE DAME DE L'OSIER,NOTRE DAME DE L'OSIER,0.013,0.041,99.9,2024
3823C,OSIRIS,ST MAURICE L'EXIL,0.028,0.037,85.3,Moyenne
3824C,RÉSEAU DE MOIRANS,VILLE DE MOIRANS,0.012,0.036,95.9,2024
3826C,RÉSEAU DE CHALEUR DES BANNETTES,VOREPPE,0.245,0.281,26.6,Moyenne
3827C,RÉSEAU GRENOBLE ALPES CHALEUR MEYLAN,MEYLAN,0.295,0.33,0,2024
3828C,RÉSEAU DE VOIRON,VOIRON,0.045,0.07,83.5,2024
3829C,RÉSEAU DE CHALEUR DE PONT-DE-CLAIX CABOISSE,LE PONT DE CLAIX,0.032,0.056,87.2,2024
3901C,RÉSEAU DE DOLE,DOLE,0.011,0.033,96.1,2024
3902C,LA MARJORIE,LONS-LE-SAUNIER,0.036,0.049,87.4,2024
3903C,RÉSEAU DE CHAMPVANS,CHAMPVANS,0,0.044,100,2024
3904C,RÉSEAU DE CHALEUR DE MOIRANS EN MONTAGNE,MOIRANS-EN-MONTAGNE,0.1,0.137,73.2,Moyenne
3905C,RÉSEAU ARINTHOD CC TEC,ARINTHOD,0,0.022,100,2024
3906C,RÉSEAU DE MOREZ - LE PUIT,HAUTS DE BIENNE,0.119,0.148,64.8,Moyenne
3907C,RÉSEAU DE CHISSEY SUR LOUE,CHISSEY-SUR-LOUE,0.114,0.143,66.7,Moyenne
3908C,CHAUFFERIE BOIS LES ORCHIDEES,AVIGNON-LES-SAINT-CLAUDE,0,0.023,100,2024
4003C,GÉOTHERMIE MONT-DE-MARSAN (GMM1),MONT-DE-MARSAN,0.029,0.025,87.3,2024
4005C,RÉSEAU DE CHALEUR PEYROUAT,MONT-DE-MARSAN,0.251,0.229,41,Moyenne
4006C,GÉOTHERMIE MONT-DE-MARSAN (GMM2),MONT-DE-MARSAN,0,0.014,100,2024
4007C,RÉSEAU SERRES PONTENX,PONTENX LES FORGES,0,0.004,100,2024
4101C,QUARTIER BÉGON ET CHEVALIER,BLOIS,0.02,0.03,91.9,Moyenne
4102C,ZAC DES PARADIS,VINEUIL,0.177,0.226,67.8,2024
4103C,RÉSEAU DE MONDOUBLEAU,MONDOUBLEAU,0.051,0.078,84.5,2024
4104C,RÉSEAU NEUNG SUR BEUVRON,NEUNG-SUR-BEUVRON,0,0.022,100,2024
4105C,HUBERT CHEVALLIER,VILLENY,0,0.021,100,2024
4106C,ECO CHALEUR DE BLOIS,BLOIS,0.018,0.024,93,Moyenne
4202C,QUARTIER LA COTONNE,SAINT-ETIENNE,0.238,0.268,0,2024
4203C,QUARTIER DE LA MÉTARE,SAINT-ETIENNE,0.222,0.25,0,2024
4204C,HLM BEAULIEU MONTCHOVET IV,SAINT-ETIENNE,0.24,0.27,0,2024
4206C,RÉSEAU DE FIRMINY,FIRMINY,0.111,0.135,58,Moyenne
4207C,ROANNE ÉNERGIES,ROANNE,0.057,0.08,75.8,Moyenne
4210C,QUARTIER MONTREYNAUD,SAINT-ETIENNE,0.07,0.094,72.7,Moyenne
4211C,RÉSEAU D'ANDRÉZIEUX-BOUTHÉON,ANDREZIEUX-BOUTHEON,0.026,0.048,90,2024
4212C,RÉSEAU DE MONTROND-LES-BAINS,MONTROND-LES-BAINS,0.006,0.031,98.2,2024
4213C,RÉSEAU DE CHALEUR VIACONFORT,SAINT-ETIENNE,0.082,0.107,67.8,Moyenne
4213F,RÉSEAUX DE FROID VIACONFORT,SAINT-ETIENNE,0.02,0.036,,Moyenne
4214C,SCEVIA QUARTIER DE FONSALA,SAINT-CHAMOND,0.103,0.134,58,Moyenne
4215C,USSON EN FOREZ,USSON-EN-FOREZ,0.041,0.071,88.8,Moyenne
4216C,LOIRE FOREZ AGGLOMERATION ESPACE DÉCHELETTE,SAINT-BONNET-LE-CHATEAU,0.081,0.121,88.8,Moyenne
4217C,JONZIEUX,JONZIEUX,0.067,0.105,82.8,Moyenne
4218C,ROISEY,ROISEY,0.004,0.039,99.1,2024
4219C,PLANFOY 2 - ZAC DES LUCIOLES,PLANFOY,0.03,0.059,91.6,Moyenne
4220C,LE BESSAT 1 - ECOLE,LE BESSAT,0,0.022,100,2024
4221C,ST BONNET LE COURREAU,SAINT-BONNET-LE-COURREAU,0,0.03,100,2024
4222C,LA TERRASSE SUR DORLAY,LA TERRASSE-SUR-DORLAY,0,0.023,100,2024
4223C,SAINT RÉGIS DU COIN,SAINT-REGIS-DU-COIN,0,0.032,100,2024
4224C,ST COTE ST DIDIER,SAINT-DIDIER-SUR-ROCHEFORT,0.003,0.025,99.1,2024
4225C,NEULISE,NEULISE,0.044,0.077,91,Moyenne
4226C,PÉLUSSIN - QUARTIER NOTRE DAME,PELUSSIN,0.011,0.047,97.6,Moyenne
4227C,SAINT CHRISTO EN JAREZ,SAINT-CHRISTO-EN-JAREZ,0,0.018,100,2024
4228C,SAINT MARTIN LA SAUVETÉ,SAINT-MARTIN-LA-SAUVETE,0.07,0.111,86.8,2024
4229C,SAINT SYMPHORIEN DE LAY,SAINT-SYMPHORIEN-DE-LAY,0.01,0.039,97.5,Moyenne
4230C,MARLHES - INTERCONNEXION,MARLHES,0.059,0.091,82.2,Moyenne
4231C,SAINT HAON LE CHÂTEL,SAINT-HAON-LE-CHATEL,0.066,0.095,80.9,Moyenne
4232C,SAINT JOSEPH,SAINT-JOSEPH,0.073,0.126,90.5,2024
4233C,ST CYR DE FAVIÈRES,SAINT-CYR-DE-FAVIERES,0,0.022,100,2024
4234C,ROANNE - QUARTIER DE MÂTEL,ROANNE,0.161,0.191,46.2,Moyenne
4235C,ROCHE EN FOREZ,ROCHE,0.033,0.059,90.4,2024
4236C,PÉLUSSIN 2 - QUARTIER DES CROIX,PELUSSIN,0.017,0.043,94.5,2024
4237C,ROANNE - QUARTIER ARSENAL,ROANNE,0.018,0.049,92.8,2024
4238C,SAINT MAURICE EN GOURGOIS,SAINT-MAURICE-EN-GOURGOIS,0.056,0.091,85.3,Moyenne
4239C,PÉLUSSIN - SIÈGE CCPR,PELUSSIN,0.037,0.072,91.2,Moyenne
4240C,COLOMBIER,COLOMBIER,0.021,0.046,94.5,2024
4241C,FARNAY,FARNAY,0.025,0.05,93.1,2024
4243C,LA TUILIÈRE,LA TUILIERE,0.005,0.027,99.3,Moyenne
4244C,LOIRE FOREZ AGGLOMERATION REZO,LURIECQ,0,0.022,100,2024
4245C,RÉSEAU DE LA VALLA EN GIER,LA VALLA EN GIER,0,0.018,100,2024
4246C,RÉSEAU D'UNIEUX,UNIEUX,0.047,0.075,84.8,Moyenne
4247C,RÉSEAU DE SAINT HÉAND,SAINT HÉAND,0.003,0.027,98.7,Moyenne
4248C,ST MARTIN D'ESTREAUX,ST MARTIN D'ESTREAUX,0.007,0.037,99.1,2024
4249C,CHAUFFERIE BELMONT DE LA LOIRE,BELMONT DE LA LOIRE,0.034,0.06,87.2,2024
4250C,CDC VAL D'AIX ET ISABLE,ST GERMAIN LAVAL,0.016,0.04,97,Moyenne
4251C,GUMIERES,GUMIERES,0.01,0.036,96.6,Moyenne
4252C,ST ROMAIN LA MOTTE,ST ROMAIN LA MOTTE,0.061,0.115,98.1,2024
4253C,CONSEIL DÉPARTEMENTAL - MAISON D'ENFANTS,SAINT JUST EN CHEVALET,0,0.024,100,2024
4301C,RÉSEAU DE TENCE,TENCE,0,0.024,100,2024
4302C,MAIRIE DE LANGEAC,LANGEAC,0.228,0.264,33.3,Moyenne
4303C,RÉSEAU DU PUY EN VELAY VERT VEINE,LE PUY-EN-VELAY,0.011,0.031,95.2,2024
4304C,CHAUFFERIE DE LA MAIRIE,DUNIERES,0,0.018,100,2024
4305C,RÉSEAU D'ALLEGRE,ALLEGRE,0,0.028,100,2024
4306C,CHAUFFERIE DE LA PISCINE,DUNIERES,0,0.022,100,2024
4307C,RÉSEAUX DE CHALEUR YES,YSSINGEAUX,0.023,0.046,92,Moyenne
4308C,PRADELLES,PRADELLES,0.006,0.026,98,2024
4309C,RÉSEAU DE MAZET ST VOY,MAZET-SAINT-VOY,0,0.023,100,2024
4310C,RÉSEAU DE ST BONNET LE FROID,SAINT-BONNET-LE-FROID,0,0.02,100,2024
4314C,LA MION 2,MAZET-SAINT-VOY,0,0.021,100,2024
4315C,RÉSEAU DE CHALEUR DE SAUGUES,SAUGUES,0,0.028,100,2024
4316C,SAINT-ROMAIN-LACHALM,SAINT-ROMAIN-LACHALM,0,0.032,100,2024
4317C,MAISON DE LOUISE,MONISTROL-SUR-LOIRE,0,0.022,100,2024
4318C,CENTRE DU CROS,RETOURNAC,0,0.027,100,2024
4319C,MONASTIER-SUR-GAZEILLE - DSP,MONASTIER-SUR-GAZEILLE,0,0.018,100,2024
4401C,RÉSEAU DE NANTES,NANTES,0.042,0.062,79.1,Moyenne
4402C,CHATEAUBRIANT,CHATEAUBRIANT,0.077,0.109,67.6,2024
4403C,NANTES CHANTRERIE,NANTES,0.095,0.12,63.1,Moyenne
4405C,ZUP DE BELLEVUE SAINT HERBLAIN,NANTES,0.095,0.12,64.1,2024
4406C,AFUL REZÉ-CHÂTEAU,REZE,0.099,0.126,65.2,Moyenne
4407C,RÉSEAU DE SAINT-JEAN-DE-BOISEAU,SAINT-JEAN-DE-BOISEAU,0.442,0.503,23.3,2024
4408C,RÉSEAU ZAC DE LA MINAIS,SAINTE-LUCE-SUR-LOIRE,0.104,0.138,57.9,Moyenne
4409C,SAINT JULIEN DE CONCELLES - CHAUFFERIE BOIS,SAINT-JULIEN-DE-CONCELLES,0.116,0.141,40.4,Moyenne
4410C,RÉSEAU DE NANTES NORD CHÉZINE,NANTES,0.069,0.081,71.8,2024
4411C,RÉSIDENCE LA BEAUJOIRE,NANTES,0.214,0.242,0,2024
4412C,RC DONGES,DONGES,0.119,0.149,58.7,2024
4501C,SOCOS SOURCE,ORLEANS,0.015,0.08,79,2024
4503C,QUARTIER CENTRE VILLE ET NORD,ORLEANS,0.006,0.083,81.8,Moyenne
4504C,ZUP DU GRAND CLOS,MONTARGIS,0.039,0.052,84.9,Moyenne
4505C,RÉSEAU DE FLEURY LES AUBRAIS,FLEURY-LES-AUBRAIS,0.093,0.119,63.8,2024
4507C,RÉSEAU DE AMILLY,AMILLY,0.02,0.026,90.1,2024
4508C,SAINT GONDON,SAINT GONDON,0,0.023,100,2024
4509C,RÉSEAU ESSITY,ARRABLOY,0,0.004,100,2024
4510C,RÉSEAU D'EAU CHAUDE MALTERIES PITHIVIERS,PITHIVIERS,0,0.004,100,2024
4601C,RÉSEAU DE NUZÉJOULS,NUZEJOULS,0.221,0.286,62.3,Moyenne
4603C,RÉSEAU DE GRAMAT,GRAMAT,0,0.019,100,2024
4604C,RÉSEAU DE BIARS SUR CERE,BIARS-SUR-CERE,0.01,0.039,97.8,Moyenne
4605C,RÉSEAU DE CAJARC,CAJARC,0.013,0.04,97,2024
4607C,RÉSEAU DE CATUS,CATUS,0.005,0.033,98.9,2024
4608C,RÉSEAU DE CAILLAC,CAILLAC,0.068,0.107,86.4,2024
4609C,RÉSEAU DE ST GERMAIN DU BEL AIR,SAINT-GERMAIN-DU-BEL-AIR,0.022,0.051,95,Moyenne
4610C,RÉSEAU DES 4 ROUTES DU LOT,LES QUATRE-ROUTES-DU-LOT,0.03,0.063,94.3,Moyenne
4611C,RÉSEAU DE SOUSCEYRAC,SOUSCEYRAC,0.024,0.053,94.6,Moyenne
4612C,RÉSEAU DE FIGEAC,FIGEAC,0.005,0.032,98.9,2024
4613C,RÉSEAU DE LIVERNON,LIVERNON,0.037,0.07,92.1,Moyenne
4614C,RÉSEAU DE CAHORS,CAHORS,0.021,0.045,92.8,2024
4615C,RÉSEAU DE THEGRA,THEGRA,0.028,0.063,94.6,2024
4616C,RÉSEAU DE LACAPELLE MARIVAL,LACAPELLE-MARIVAL,0.02,0.048,95.4,Moyenne
4617C,RÉSEAU DE GOURDON,GOURDON,0.008,0.032,97.8,2024
4701C,SOGAD,LE PASSAGE,0,0.004,100,2024
4802C,MENDE,MENDE,0.001,0.022,99.9,Moyenne
4803C,SCABE SAINT CHELY D'APCHER BOIS ENERGIE,SAINT-CHELY-D'APCHER,0.005,0.024,98.7,Moyenne
4901C,RÉSEAU D'ANGERS LA ROSERAIE,ANGERS,0.031,0.039,88,Moyenne
4902C,RESEAU DES DEUX CROIX (NOZAY-UPJM),ANGERS,0.139,0.168,54.8,2024
4903C,CHU ANGERS,ANGERS,0.023,0.043,89.7,2024
4904C,RÉSEAU DE CHALEUR D'ANDREZÉ,ANDREZE,0.018,0.042,93.8,2024
4905C,CHEMIN VERT,SAUMUR,0.07,0.095,74.1,2024
4907C,RÉSEAU D'ORGEMONT,ANGERS,0.068,0.103,64,Moyenne
4908C,RÉSEAU DE CHALEUR D'ECOUFLANT,ECOUFLANT,0.046,0.074,86.5,2024
4910C,RÉSEAU DE CHALEUR ANGERS RIVE DROITE,ANGERS,0.142,0.173,54.3,Moyenne
4912C,RÉSEAU DE CHALEUR DE LA HERSE,MONTREUIL-BELLAY,0.12,0.149,65.4,Moyenne
4913C,RÉSEAU LES MAUGES,CHOLET,0.109,0.135,59.4,2024
4914C,RÉSEAU POINCLOUX,OMBRÉE D'ANJOU,0,0.021,100,2024
4915C,RÉSEAU DE CHALEUR DE MONPLAISIR,ANGERS,0.067,0.093,75.8,2024
4916C,LES PLAINES - TRELAZE,TRELAZE,0.22,0.255,0,2024
4917C,RCU BEAUPREAU - CHAUFFERIE BOIS BEAUPREAU,BEAUPREAU EN MAUGES,0,0.02,100,2024
5001C,PROVINCES ENERGIES,CHERBOURG-OCTEVILLE,0.037,0.065,89.6,Moyenne
5002C,ILOT DIVETTE,CHERBOURG-OCTEVILLE,0.167,0.164,32.2,2024
5003C,RÉGIE DE CHAUFFAGE DU TEILLEUL,LE TEILLEUL,0.067,0.099,81.9,2024
5004C,CENTRE HOSPITALIER DE L'ESTRAN,PONTORSON,0.246,0.276,0,2024
5005C,RÉSEAU COMMUNAL LA LUCERNE D'OUTREMER,LA LUCERNE-D'OUTREMER,0,0.021,100,2024
5006C,CHAUFFAGE URBAIN BIOMASSE D'AVRANCHES,AVRANCHES,0.012,0.032,95.2,2024
5007C,RÉSEAU DE BUAIS-LES-MONTS,BUAIS LES MONTS,0,0.021,100,2024
5008C,RÉSEAU DE HAMBYE,HAMBYE,0.02,0.043,92.4,Moyenne
5009C,RÉSEAU DE LESSAY,LESSAY,0.037,0.061,85.5,Moyenne
5010C,RÉSEAU DE TESSY-BOCAGE,TESSY-BOCAGE,0.047,0.069,79.8,Moyenne
5011C,RÉSEAU DE SAINT GERMAIN SUR AY,SAINT GERMAIN SUR AY,0.022,0.045,91.3,2024
5012C,RÉSEAU DE JUVIGNY LES VALLEES,JUVIGNY LES VALLEES,0.038,0.063,86.1,2024
5013C,COUTANCES,COUTANCES,0.023,0.044,89.7,Moyenne
5101C,ZUP DE LAON NEUFCHATEL,REIMS,0.069,0.092,71.4,2024
5103C,VY'ENERGIE,VITRY-LE-FRANCOIS,0.012,0.032,94.9,2024
5104C,EPERNAY - QUARTIER BERNON,EPERNAY,0.191,0.287,0,2024
5106C,CROIX ROUGE,REIMS,0.052,0.069,80.1,2024
5107C,LA RENAISSANCE IMMOBILIÈRE CHALONNAISE,CHALONS-EN-CHAMPAGNE,0.088,0.117,59.1,Moyenne
5108C,ST RÉMI,REIMS,0.098,0.112,62.2,2024
5109C,DSP SAINTE MENEHOULD,REIMS,0.028,0.054,90.5,2024
5110C,RÉSEAU CLOE - CHALONS-EN-CHAMPAGNE,CHALONS-EN-CHAMPAGNE,0.065,0.076,73.8,2024
5202C,DSP ST DIZIER,SAINT-DIZIER,0.074,0.098,71.1,Moyenne
5204C,RÉSEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT,CHAUMONT,0.043,0.055,84.2,2024
5205C,RÉSEAU DE CHALEUR BOIS DE MARAC,MARAC,0,0.019,100,2024
5207C,RÉSEAU DE WASSY,WASSY,0,0.017,100,2024
5208C,RÉSEAU DE BOURMONT,BOURMONT,0,0.022,100,2024
5209C,RÉSEAU DE LANGRES,LANGRES,0.099,0.123,57.3,Moyenne
5213C,RESEAU DE FAYL BILLOT,FAYL-BILLOT,0.024,0.047,91.3,2024
5214C,RÉSEAU DE SAINT BLIN,SAINT-BLIN,0.032,0.06,93.1,Moyenne
5302C,RÉSEAU DE LAVAL - ZUP SAINT NICOLAS,LAVAL,0.038,0.046,86.2,Moyenne
5303C,RCU CHÂTEAU-GONTIER (PISCINE ET SALLES OMNISPORTS),CHATEAU-GONTIER,0.068,0.093,74.6,Moyenne
5304C,VAPEUR COSYNERGIE 53,PONTMAIN,0,0.004,100,2024
5305C,RCU D'EVRON,EVRON,0.048,0.072,82.6,2024
5306C,RÉSEAU DE CHALEUR - MAYENNE,MAYENNE,0.104,0.13,59.6,2024
5401C,ESTIA - SAINT JULIEN KENNEDY,NANCY,0.105,0.131,60.9,Moyenne
5403C,S.E.E.V - VILLE DE VANDOEUVRE,VANDOEUVRE-LES-NANCY,0.053,0.066,77.2,Moyenne
5407C,ESTIA - PLATEAU DE HAYE,NANCY,0.107,0.144,54,Moyenne
5408C,RÉSEAU D'ECROUVES,ECROUVES,0.115,0.142,53.9,Moyenne
5409C,RÉSEAU CHAUFFERIE BOIS - BARBONVILLE,BARBONVILLE,0,0.022,100,2024
5410C,S.E.E.V - PLATEAU DE BRABOIS,VANDOEUVRE-LES-NANCY,0.059,0.108,62.6,Moyenne
5411C,ESTIA - BLANDAN MEDREVILLE,NANCY,0.071,0.09,70.9,2024
5412C,RÉSEAU DE PONT À MOUSSON,PONT-A-MOUSSON,0.03,0.077,89.4,Moyenne
5413C,ESTIA - LAXOU-VILLERS,LAXOU,0.094,0.121,56.3,Moyenne
5414C,RÉSEAU DE CHALEUR BRIEY,BRIEY,0.049,0.072,79.8,2024
5415C,RÉSEAU DES JARDINETS,AMENONCOURT,0,0.139,100,2024
5417C,L'ENERGIE LUNEVILLE,LUNEVILLE,0.041,0.067,85.9,2024
5501C,CÔTE SAINTE CATHERINE,BAR LE DUC,0.1,0.125,60.7,Moyenne
5502C,ZUP ANTHOUARD,VERDUN,0.246,0.276,0,2024
5503C,LIGNY EN BARROIS,LIGNY-EN-BARROIS,0.057,0.083,80.7,2024
5504C,RÉSEAU DE BAÂLON,BAALON,0,0.029,100,2024
5601C,RÉSEAU DE LANESTER,LANESTER,0.092,0.121,71.1,Moyenne
5602C,RÉSEAU DE CHALEUR ZAC CENTRE,HENNEBONT,0,0.023,100,2024
5603C,RÉSEAU DE CHALEUR DU GUMENEN,AURAY,0.072,0.099,76.9,2024
5604C,RÉSEAU DE CHALEUR LIGER,LOCMINE,0,0.048,100,2024
5605C,RÉSEAU DE LA COMMUNE DE GUER,GUER,0,0.022,100,2024
5607C,RÉSEAU DE SERENT,SERENT,0.039,0.065,87.7,2024
5608C,RÉSEAU DE CHALEUR DE LOCMIQUELIC,LOCMIQUELIC,0.002,0.022,99.4,2024
5609C,CENTRE-VILLE - PLOUAY,PLOUAY,0,0.02,100,2024
5611C,MANEHOUARN - PLOUAY,PLOUAY,0.003,0.025,98.9,2024
5612C,LANVEUR - KERJULAUDE - LORIENT,LORIENT,0.014,0.035,94.6,Moyenne
5613C,BODÉLIO - LORIENT,LORIENT,0.006,0.029,98.1,2024
5614C,KERDROUAL - PLOEMEUR,PLOEMEUR,0.007,0.031,97.5,Moyenne
5615C,CENTRE-BOURG - BUBRY,BUBRY,0,0.021,100,2024
5616C,RÉSEAU CH CENTRE BRETAGNE - POLYCLINIQUE KERIO,NOYAL-PONTIVY,0.095,0.119,59.9,Moyenne
5617C,RÉSEAU LACTALIS - AKIOLIS,PONTIVY,0,0.004,100,2024
5701C,RÉSEAU DE METZ,METZ,0.04,0.098,72.7,2024
5702C,RÉSEAU DE LA VILLE DE YUTZ,YUTZ,0.044,0.068,82.3,2024
5703C,RÉSEAU DE CHALEUR DE FARÉBERSVILLER,FAREBERSVILLER,0.133,0.174,61.5,Moyenne
5705C,WENHECK,SAINT-AVOLD,0.241,0.359,0,2024
5706C,RÉSEAU DE FREYMING MERLEBACH,FREYMING-MERLEBACH,0.102,0.136,59.3,Moyenne
5707C,RÉSEAU DE SARREGUEMINES,SARREGUEMINES,0.081,0.113,72.1,2024
5708C,RÉSEAU DE HOLWEG-FORBACH-BEHREN,BEHREN-LES-FORBACH,0,0.063,85.1,Moyenne
5709C,CARRIÈRE,SAINT-AVOLD,0.085,0.111,73.1,2024
5710C,CÔTE DE LA JUSTICE,SAINT-AVOLD,0.026,0.049,92.8,2024
5711C,HUCHET,SAINT-AVOLD,0.036,0.058,84.5,2024
5712C,STIRING WENDEL,STIRING-WENDEL,0,0.004,100,2024
5713C,RÉSEAU DE CHAUFFAGE URBAIN DE CREUTZWALD,CREUTZWALD,0.206,0.26,11.7,Moyenne
5714C,RÉSEAU DE SARREBOURG,SARREBOURG,0.094,0.119,63.2,Moyenne
5714F,RÉSEAU ZAC AMPHITHÉÂTRE,METZ,0.008,0.017,,2024
5716C,RÉSEAU CITÉ BELLE-ROCHE,COCHEREN,0.282,0.316,0,2024
5717C,RÉSEAU CITÉ PASTEUR,ROUHLING,0.277,0.311,0,2024
5719C,RESEAU DE CATTENOM,CATTENOM,0.017,0.046,96.3,Moyenne
5720C,RÉSEAU DE CHALEUR D'AMNÉVILLE,AMNÉVILLE,0.025,0.049,89,Moyenne
5721C,RÉSEAU DE CHALEUR DE ROMBAS,ROMBAS,0.047,0.07,80.1,Moyenne
5722C,POLESTAR,SAINT-AVOLD,0.205,0.225,0,2024
5802C,RESEAU DE CHALEUR DU BANLAY,NEVERS,0.07,0.097,68.4,2024
5803C,RÉSEAU DE DECIZE,DECIZE,0.068,0.098,79.2,Moyenne
5804C,RÉSEAU DE CHALEUR DE LA MAISON DU PARC DU MORVAN,SAINT-BRISSON,0.114,0.143,66.7,Moyenne
5805C,RÉSEAU DE CHALEUR D'ARLEUF,ARLEUF,0.007,0.032,98.4,2024
5806C,RÉSEAU DE CHALEUR DE BAZOLLES,BAZOLLES,0,0.021,100,2024
5807C,RÉSEAU DE CHALEUR DE CORBIGNY,CORBIGNY,0,0.019,100,2024
5808C,RÉSEAU DE CHALEUR DE LORMES,LORMES,0.017,0.041,95.7,Moyenne
5809C,RÉSEAU DE CHALEUR DE MONTIGNY EN MORVAN,MONTIGNY-EN-MORVAN,0.014,0.04,95.8,2024
5810C,RÉSEAU DE CHALEUR D'OUROUX EN MORVAN,OUROUX-EN-MORVAN,0,0.023,100,2024
5811C,RÉSEAU DE CHALEUR DE PLANCHEZ,PLANCHEZ,0.002,0.029,99.5,Moyenne
5812C,RÉSEAU DE CHALEUR DE SAINT AMAND EN PUISAYE,SAINT-AMAND-EN-PUISAYE,0.013,0.042,96.5,2024
5813C,RÉSEAU DE CHALEUR DE VARZY,VARZY,0,0.02,100,2024
5814C,RÉSEAU DE CHALEUR DE CORANCY,CORANCY,0,0.02,100,2024
5815C,RÉSEAU DE CHALEUR DE SAINT SAULGE,SAINT-SAULGE,0.039,0.066,92.2,Moyenne
5816C,RÉSEAU DE CHALEUR DE BILLY SUR OISY,BILLY-SUR-OISY,0,0.024,100,2024
5817C,RÉSEAU DE CHALEUR DE BRASSY,BRASSY,0.077,0.116,79,2024
5818C,RÉSEAU DE CHALEUR DE CHÂTEAU CHINON VILLE,CHATEAU-CHINON (VILLE),0,0.022,100,2024
5819C,RÉSEAU DE CHALEUR DE COSNE-COURS-SUR-LOIRE,COSNE-COURS-SUR-LOIRE,0.042,0.066,84.5,2024
5820C,CHÂTEAU CHINON EIAT,CHATEAU-CHINON (VILLE),0.088,0.122,76.3,2024
5821C,CHALLUY,CHALLUY,0.02,0.043,90.8,2024
5822C,MOUX EN MORVAN,MOUX-EN-MORVAN,0.015,0.04,97.5,2024
5823C,LA CHARITÉ SUR LOIRE,LA CHARITE-SUR-LOIRE,0,0.021,100,2024
5824C,RÉSEAU DE LUZY,LUZY,0.007,0.028,97.3,Moyenne
5825C,OUROUX EN MORVAN 2,OUROUX EN MORVAN,0,0.023,100,2024
5826C,VAUX D'AMOGNES,VAUX D'AMOGNES,0,0.019,100,2024
5827C,MONTSAUCHE LES SETTONS,MONTSAUCHE LES SETTONS,0.03,0.054,90.6,2024
5828C,URZY,URZY,0.005,0.029,98.5,2024
5829C,COSSAYE,COSSAYE,0.047,0.074,81.6,2024
5830C,ENTRAINS-SUR-NOHAIN,ENTRAINS-SUR-NOHAIN,0,0.036,100,2024
5831C,COULANGES-LÈS-NEVERS - ESPACE DES SAULES,COULANGES-LÈS-NEVERS,0.021,0.04,90.2,2024
5832C,COULANGES-LÈS-NEVERS - GS MALRAUX,COULANGES-LÈS-NEVERS,0.018,0.043,92.4,2024
5901C,RÉSEAU DE ROUBAIX,ROUBAIX,0.049,0.07,77.2,2024
5902C,LES CANONNIERS,VALENCIENNES,0.251,0.282,0,2024
5904C,QUARTIER PONT DE BOIS,VILLENEUVE-D'ASCQ,0.105,0.128,61.2,Moyenne
5905C,DOMAINE UNIVERSITAIRE ET SCIENTIFIQUE,VILLENEUVE-D'ASCQ,0.242,0.272,0,2024
5906C,RÉSEAUX DE WATTIGNIES,WATTIGNIES,0.158,0.186,38.9,Moyenne
5907C,RÉSEAU DE WATTRELOS,WATTRELOS,0.109,0.136,57,2024
