identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
2108C,RÉSEAU DE LA COMMUNE DE NUITS SAINT GEORGES,NUITS-SAINT-GEORGES,0,0.028,100,2024
2111C,RÉSEAU DE CHALEUR DE BLIGNY-SUR-OUCHE,BLIGNY-SUR-OUCHE,0.025,0.063,94.1,2024
2112C,RÉSEAU DE CHALEUR - PLAINE DES SPORTS DE SAULIEU,SAULIEU,0.02,0.056,94.7,2024
2113C,RÉSEAU DE CHALEUR DE FONTAINE-FRANÇAISE,FONTAINE-FRANÇAISE,0.028,0.062,91.9,2024
2202C,RESEAU DE CHALEUR CHAUFFERIE 1,PLOUARET,0.114,0.147,66.7,Moyenne
2203C,RESEAU DE CHALEUR CHAUFFERIE 2,PLOUARET,0,0.022,100,2024
2204C,SMITRED OUEST D'ARMOR,PLUZUNET,0,0.004,100,2024
2205C,RÉSEAU DE CHALEUR DE COLLINÉE,COLLINEE,0.017,0.043,94.5,2024
2206C,RÉSEAU DE CHALEUR DE PESSALA,PLESSALA,0.064,0.103,83.9,Moyenne
2207C,RÉSEAU DE CHALEUR DU GOURAY,LE GOURAY,0.014,0.048,97.7,Moyenne
2208C,RÉSEAU DE CHALEUR DE BRÉZILLET,PLOUFRAGAN,0.044,0.068,83,2024
2209C,CIDER'BOIS ENERGIE,LOUDEAC,0,0.02,100,2024
2210C,HOPITAL RIVE GAUCHE,LANNION,0.057,0.083,81.1,2024
2211C,PLOUMILLIAU,PLOUMILLIAU,0,0.023,100,2024
2212C,MONGE BRANLY,LANNION,0.008,0.028,96.8,2024
2213C,CHAUF BOIS ET RÉSEAU DE CHALEUR PLESTIN LES GRÈVES,PLESTIN LES GRÈVES,0.114,0.145,66.5,Moyenne
2214C,LA ROCHE-JAUDY,LA ROCHE-JAUDY,0,0.022,100,2024
2215C,LOGUIVY-PLOUGRAS,LOGUIVY-PLOUGRAS,0,0.022,100,2024
2216C,TRESTEL,TRÉVOU-TRÉGUIGNEC,0.015,0.035,93.7,2024
2217C,RÉSEAU DE CHALEUR DE SAINT-JACUT,LE MENÉ,0.056,0.128,94.5,Moyenne
2218C,RÉSEAU DE CHALEUR DESAINT-GOUÉNO,LE MENÉ,0.068,0.112,84.1,Moyenne
2301C,RÉSEAU DE BOURGANEUF,BOURGANEUF,0.019,0.045,94.8,Moyenne
2302C,RÉSEAU DE FELLETIN,FELLETIN,0.018,0.043,93.3,2024
2304C,RÉSEAU DE GENTIOUX,GENTIOUX-PIGEROLLES,0,0.032,100,2024
2305C,RÉSEAU DE GUÉRET,GUERET,0.033,0.057,87.8,2024
2401C,RÉSEAU DE CHALEUR DE SAINT-ASTIER,SAINT ASTIER,0.063,0.09,79.1,2024
2402C,L'ARCHE AU BOIS,PERIGUEUX,0.058,0.086,81.2,Moyenne
2403C,CHAUFFERIE BOIS DE CADOUIN,LE BUISSON-DE-CADOUIN,0.042,0.08,91.2,Moyenne
2404C,CHAUFFERIE BOIS DOUVILLE,DOUVILLE,0,0.019,100,2024
2406C,RÉSEAU DE COULOUNIEIX CHAMIERS,COULOUNIEIX-CHAMIERS,0.029,0.051,89.9,2024
2407C,RÉSEAU DE CHALEUR DES DEUX RIVES PÉRIGUEUX,PERIGUEUX,0.077,0.103,71.1,Moyenne
2501C,BESANÇON - PLANOISE,BESANCON,0.056,0.07,77.7,2024
2502C,RÉSEAU DE MONTBÉLIARD,MONTBELIARD,0.113,0.129,54.7,Moyenne
2503C,CHAMPVALON,BETHONCOURT,0.089,0.117,62.9,Moyenne
2504C,CHAUFFERIE BOIS DU RUSSEY,LE RUSSEY,0.043,0.074,89,2024
2505C,CHAMPS MONTANTS,AUDINCOURT,0.247,0.282,0,2024
2506C,DOMAINE UNIVERSITAIRE DE LA BOULOIE,BESANCON,0.04,0.066,85.9,Moyenne
2507C,RÉSEAU DE CHALEUR DE MOUTHE,MOUTHE,0.006,0.027,98.2,Moyenne
2509C,MAIRIE MYON,MYON,0,0.02,100,2024
2510C,CHAUFFERIE DU LYCÉE E FAURE,MORTEAU,0.266,0.299,0,2024
2511C,RESEAU DE CHALEUR,PONTARLIER,0.027,0.034,90.5,2024
2512C,RÉSEAU DE CHALEUR DE LA COMMUNE DE NANCRAY,NANCRAY,0,0.02,100,2024
2513C,VILLARS SOUS ECOT,VILLARS-SOUS-ECOT,0,0.023,100,2024
2514C,RÉSEAU DE CHALEUR DE FRASNE,FRASNE,0.012,0.039,97.2,2024
2515C,RÉSEAU DE GOUX LES USIERS,GOUX-LES-USIERS,0,0.02,100,2024
2516C,RÉSEAU DE AMANCEY LOUE LISON,AMANCEY,0.143,0.187,60.9,2024
2518C,RCU DE NOVILLARS,NOVILLARS,0.004,0.009,98.3,2024
2520C,RÉSEAU BOIS ET CITOYEN DE CHAPELLE DES BOIS,CHAPELLE DES BOIS,0,0.027,100,2024
2601C,RÉSEAU DE VALENCE,VALENCE,0.109,0.134,58.7,2024
2602C,RÉSEAU DE CHALEUR DE VASSIEUX EN VERCORS,VASSIEUX-EN-VERCORS,0.041,0.077,90.7,Moyenne
2603C,RÉSEAU DE PIERRELATTE - DES,PIERRELATTE,0,0.129,66.8,Moyenne
2604C,RÉSEAU DE PRACOMPTAL,MONTELIMAR,0.244,0.27,0,2024
2605C,RÉSEAU DE CHALEUR DU QUARTIER DE LA MONNAIE,ROMANS-SUR-ISERE,0.165,0.214,0,2024
2606C,SAINT JEAN EN ROYANS (ARRET EN 2024),SAINT JEAN EN ROYANS,0.343,0.383,0,2024
2607C,RÉSEAU DU CH DE VALENCE,VALENCE,0.132,0.182,30.5,2024
2701C,THERMEVRA,EVREUX,0.062,0.072,74.1,2024
2702C,LOUVIERS ENERGIE,LOUVIERS,0.048,0.072,80.6,2024
2703C,QUARTIER DE L'EUROPE,PONT-AUDEMER,0.342,0.385,0,2024
2705C,ZUP LES VALMEUX,VERNON,0.22,0.247,0,2024
2706C,RÉSEAU DE CHALEUR DE CONCHES-EN-OUCHE,CONCHES-EN-OUCHE,0.014,0.039,95.3,2024
2707C,RÉSEAU - CANAPPEVILLE,CANAPPEVILLE,0.114,0.143,66.7,Moyenne
2709C,RÉSEAU DE BERNAY BOURG LE COMTE,BERNAY,0.069,0.092,72,2024
2802C,LES GAUCHETIÈRES,NOGENT-LE-ROTROU,0.297,0.333,0,2024
2803C,DUNES,CHATEAUDUN,0.081,0.107,72.6,Moyenne
2806C,RÉSEAU DE CHALEUR DE VOVES,VOVES,0.147,0.174,41.5,Moyenne
2807C,CHARTRES METROPOLE ENERGIES,CHARTRES,0,0.054,88.9,2024
2808C,UVEA,OUARVILLE,0.171,0.195,50,Moyenne
2901C,ECO CHALEUR DE BREST,BREST,0.025,0.035,89.2,2024
2902C,RÉSEAU DE PLOUGASTEL DAOULAS,PLOUGASTEL-DAOULAS,0.042,0.067,85.2,2024
2903C,RÉSEAU DE CHALEUR UVED,BRIEC,0,0.004,100,2024
2905C,GOUENNOU FRERES,PLOUGASTEL-DAOULAS,0,0.021,100,2024
2906C,VAPEUR SIRCOB-NUTRIBABIG,CARHAIX-PLOUGER,0,0.004,100,2024
2907C,RÉSEAU DE CHALEUR LANDERNEAU,LANDERNEAU,0,0.021,100,2024
2908C,PLAINE DES SPORTS,DOUARNENEZ,0.023,0.046,91.6,Moyenne
2910C,RESEAU CMBO,QUIMPER,0,0.178,0,2024
2911C,CENTRE-BOURG - ARZANO,ARZANO,0.01,0.032,96.2,2024
3001C,QUARTIER OUEST,NIMES,0.085,0.106,65.8,2024
3002C,DALAE,ALES,0.051,0.078,75.8,2024
3003C,RÉSEAU BOIS LAMELOUZE,LAMELOUZE,0,0.022,100,2024
3101C,RÉSEAU DE TOULOUSE MIRAIL,TOULOUSE,0.009,0.014,97.1,Moyenne
3101F,CANCEROPOLE,TOULOUSE,0.013,0.024,,Moyenne
3102C,ÉCO-QUARTIER BALMA VIDAILHAN,BALMA,0.129,0.158,53.1,Moyenne
3102F,RÉSEAU DE TOULOUSE MIRAIL,TOULOUSE,0,0.025,,2024
3103C,ZAC DU RITOURET,BLAGNAC,0.063,0.054,73.1,Moyenne
3104C,CANCEROPÔLE,TOULOUSE,0.06,0.069,76.5,Moyenne
3106C,RÉSEAU « SAINT EXUPÉRY »,TOULOUSE,0.084,0.102,78.1,Moyenne
3107C,ENSEMBLE UNIVERSITAIRE TOULOUSE RANGUEIL,TOULOUSE,0.045,0.066,81,2024
3108C,EN TURET,AYGUESVIVES,0.203,0.236,33.6,Moyenne
3111C,CAMUS,CASTANET-TOLOSAN,0.215,0.247,24.5,Moyenne
3112C,TOULOUSE ENERGIE DURABLE (TED) CHAUD,TOULOUSE,0.071,0.083,78.1,Moyenne
3112F,TOULOUSE ENERGIE DURABLE (TED) FROID,TOULOUSE,0.027,0.047,,Moyenne
3113C,RÉSEAU ÉCOQUARTIER MARAGON FLORALIES,RAMONVILLE SAINT-AGNE,0.046,0.068,80.2,2024
3114C,ZAC GUILLAUMET,TOULOUSE,0.216,0.246,9.4,2024
3115C,ECONOTRE,BESSIERES,0,0.004,100,2024
3116C,RESEAU CHALEUR BOIS ARBAS,ARBAS,0,0.035,100,2024
3301F,LASERIS,LE BARP,0.017,0.031,,2024
3302C,GRAND PARC ENERGIES,BORDEAUX,0.248,0.271,0,2024
3302F,BASSINS A FLOT - FROID,BORDEAUX,0.01,0.02,,Moyenne
3303C,MÉRIADECK,BORDEAUX,0,0.015,100,2024
3304C,PARC DE MÉRIGNAC VILLE STEMER,MERIGNAC,0.242,0.277,0,2024
3305C,LASERIS,LE BARP,0.135,0.087,38.6,Moyenne
3310C,RÉSEAU DE CHALEUR DE GIRONDE SUR DROPT,GIRONDE-SUR-DROPT,0.003,0.034,99.2,2024
3311C,RÉSEAU DE CHALEUR DE PELLEGRUE,PELLEGRUE,0.016,0.053,97.3,2024
3312C,RÉSEAU DE CHALEUR DE SAINT PIERRE D'AURILLAC,SAINT-PIERRE-D'AURILLAC,0.021,0.049,94.5,Moyenne
3313C,RÉSEAU DE LA RÉOLE,LA REOLE,0.007,0.034,97.6,Moyenne
3315C,RÉSEAU DE TERRES NEUVES,BEGLES,0.068,0.094,74,Moyenne
3316C,RÉSEAU DE L'ÉCO-QUARTIER GINKO,BORDEAUX,0.09,0.113,62.5,2024
3317C,SAIGE-FORMANOIR,PESSAC,0.077,0.069,59.1,2024
3318C,BASSINS À FLOT,BORDEAUX,0.079,0.092,68,2024
3319C,BORDEAUX BEGLES ENERGIES,BORDEAUX,0.006,0.011,97.6,2024
3320C,RÉSEAU DE LA CLINIQUE LESPARRE,LESPARRE-MEDOC,0.103,0.139,70.9,Moyenne
3321C,RÉSEAU PORTES DU PYLA,LA TESTE DE BUCH,0.102,0.117,56.2,Moyenne
3324C,RÉSEAU DE CHALEUR DES HAUTS DE GARONNE,CENON,0.019,0.026,92.6,2024
3325C,RÉSEAU PLAINE DE GARONNE ENERGIES,BORDEAUX,0.088,0.075,61.6,2024
3326C,RÉSEAU D'AUBIERS,BORDEAUX,0.06,0.082,76.3,2024
3327C,BURCK,PESSAC,0.226,0.254,0,2024
